company,card_name,inv_number,inv_date,inv_due_date,payment_date_1,payment_date_2,pymnt_group,extra_days,days_overdue,aging_bucket,doc_total,paid_to_date,outstanding,source_aging_bucket,is_overdue,aging_status,current_or_future_amount,overdue_amount,invoice_month,due_month
Matapel Tradindo Sample,Supplier 001,AP-00001,2026-01-06,2026-02-05,2026-01-14,,Net 30,23,23,1-30,108578894.82,33496337.76,75082557.06,1-30,True,Overdue,0.0,75082557.06,2026-01-01,2026-02-01
Matapel Tradindo Sample,Supplier 004,AP-00002,2025-11-28,2025-12-12,2025-12-02,,Net 14,78,78,61-90,134237171.45,22821929.03,111415242.43,61-90,True,Overdue,0.0,111415242.43,2025-11-01,2025-12-01
Matapel Tradindo Sample,Supplier 015,AP-00003,2025-11-17,2025-12-17,2025-11-25,,Net 30,73,73,61-90,89294678.95,28141411.99,61153266.96,61-90,True,Overdue,0.0,61153266.96,2025-11-01,2025-12-01
Matapel Chemicals Sample,Supplier 014,AP-00004,2025-09-28,2025-11-12,2025-10-07,,Net 45,108,108,90+,115940248.74,47191412.74,68748836.0,90+,True,Overdue,0.0,68748836.0,2025-09-01,2025-11-01
Matapel Chemicals Sample,Supplier 008,AP-00005,2026-01-12,2026-01-26,2026-01-23,,Net 14,33,33,31-60,50876445.04,9973592.19,40902852.85,31-60,True,Overdue,0.0,40902852.85,2026-01-01,2026-01-01
Matapel Tradindo Sample,Supplier 014,AP-00006,2025-09-20,2025-11-19,2025-11-08,,Net 60,101,101,90+,102971638.91,40284534.25,62687104.66,90+,True,Overdue,0.0,62687104.66,2025-09-01,2025-11-01
Matapel Tradindo Sample,Supplier 010,AP-00007,2025-12-18,2026-01-01,2025-12-19,,Net 14,58,58,31-60,174011217.83,27926347.01,146084870.82,31-60,True,Overdue,0.0,146084870.82,2025-12-01,2026-01-01
Matapel Chemicals Sample,Supplier 015,AP-00008,2025-09-21,2025-10-05,2025-10-02,,Net 14,146,146,90+,152313033.32,87879289.16,64433744.17,90+,True,Overdue,0.0,64433744.17,2025-09-01,2025-10-01
Matapel Tradindo Sample,Supplier 013,AP-00009,2025-11-16,2025-12-16,2025-11-23,,Net 30,74,74,61-90,90710004.75,40839835.04,49870169.71,61-90,True,Overdue,0.0,49870169.71,2025-11-01,2025-12-01
Matapel Tradindo Sample,Supplier 011,AP-00010,2026-01-21,2026-03-07,2026-02-18,,Net 45,0,-7,Current,58160737.79,12648138.24,45512599.55,Current,False,Current/Future,45512599.55,0.0,2026-01-01,2026-03-01
Matapel Chemicals Sample,Supplier 007,AP-00011,2026-01-27,2026-02-26,2026-02-01,,Net 30,2,2,1-30,18831554.87,11724054.28,7107500.59,1-30,True,Overdue,0.0,7107500.59,2026-01-01,2026-02-01
Matapel Chemicals Sample,Supplier 003,AP-00012,2025-11-24,2026-01-08,2025-12-19,,Net 45,51,51,31-60,86548598.52,37468332.22,49080266.3,31-60,True,Overdue,0.0,49080266.3,2025-11-01,2026-01-01
Matapel Tradindo Sample,Supplier 008,AP-00013,2026-01-11,2026-01-25,2026-01-19,,Net 14,34,34,31-60,166313443.73,98183408.25,68130035.48,31-60,True,Overdue,0.0,68130035.48,2026-01-01,2026-01-01
Matapel Chemicals Sample,Supplier 012,AP-00014,2025-11-09,2026-01-08,2026-01-07,,Net 60,51,51,31-60,49250122.73,16128283.72,33121839.0,31-60,True,Overdue,0.0,33121839.0,2025-11-01,2026-01-01
