company,po_number,doc_date,expected_deliv_date,actual_deliv_date,card_name,itms_grp_nam,item_category,parent_code,parent_name,item_code,item_name,quantity,doc_currency,doc_price,doc_rate,exc_rate,price_usd,product_family,product_line,month,purchase_lead_time_days,delivery_delay_days,has_actual_delivery_date,is_late_delivery
Matapel Chemicals Sample,100001,2023-01-02,2023-01-25,2023-01-26,Supplier 010,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-01,Organic Pigments Grade 1,2337.88,USD,4.4587,15500,15500,4.4587,Colorants,Organic Pigments,2023-01-01,24,1,True,True
Matapel Chemicals Sample,100002,2023-03-05,2023-04-06,2023-04-17,Supplier 005,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-01,Organic Pigments Grade 1,3279.97,USD,4.5014,15500,15500,4.5014,Colorants,Organic Pigments,2023-03-01,43,11,True,True
Matapel Chemicals Sample,100003,2023-09-07,2023-09-30,2023-09-27,Supplier 004,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-01,Organic Pigments Grade 1,2559.39,USD,4.3415,15500,15500,4.3415,Colorants,Organic Pigments,2023-09-01,20,-3,True,False
Matapel Chemicals Sample,100004,2023-11-09,2023-12-08,2023-12-03,Supplier 008,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-01,Organic Pigments Grade 1,2589.57,USD,4.676,15500,15500,4.676,Colorants,Organic Pigments,2023-11-01,24,-5,True,False
Matapel Chemicals Sample,100005,2024-01-01,2024-01-26,2024-02-02,Supplier 011,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-01,Organic Pigments Grade 1,4178.01,USD,4.7988,15500,15500,4.7988,Colorants,Organic Pigments,2024-01-01,32,7,True,True
Matapel Chemicals Sample,100006,2024-07-07,2024-07-26,2024-08-07,Supplier 007,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-01,Organic Pigments Grade 1,4058.74,USD,4.7116,15500,15500,4.7116,Colorants,Organic Pigments,2024-07-01,31,12,True,True
Matapel Chemicals Sample,100007,2024-09-09,2024-10-11,2024-10-13,Supplier 005,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-01,Organic Pigments Grade 1,2097.6,USD,4.1215,15500,15500,4.1215,Colorants,Organic Pigments,2024-09-01,34,2,True,True
Matapel Chemicals Sample,100008,2025-01-11,2025-01-26,2025-01-26,Supplier 001,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-01,Organic Pigments Grade 1,1073.02,USD,4.4046,15500,15500,4.4046,Colorants,Organic Pigments,2025-01-01,15,0,True,False
Matapel Chemicals Sample,100009,2025-03-07,2025-04-08,2025-04-08,Supplier 012,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-01,Organic Pigments Grade 1,1824.92,USD,4.8602,15500,15500,4.8602,Colorants,Organic Pigments,2025-03-01,32,0,True,False
Matapel Chemicals Sample,100010,2025-09-10,2025-09-28,2025-09-26,Supplier 003,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-01,Organic Pigments Grade 1,4156.32,USD,4.6266,15500,15500,4.6266,Colorants,Organic Pigments,2025-09-01,16,-2,True,False
Matapel Chemicals Sample,100011,2025-11-05,2025-11-19,2025-11-16,Supplier 004,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-01,Organic Pigments Grade 1,3360.51,USD,4.9056,15500,15500,4.9056,Colorants,Organic Pigments,2025-11-01,11,-3,True,False
