company,inv_date,cust_name,item_group,item_category,parent_code,parent_name,item_code,item_name,quantity,price_usd,total_usd,price_idr,total_idr,moving_avg_cost,product_family,product_line,month,cogs_idr,gross_profit_idr,gross_margin_pct
Matapel Chemicals Sample,2023-01-12,Customer 025,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-01,Organic Pigments Grade 1,822.97,7.3888,6080.75,114525.9,94251641.77,82110.14,Colorants,Organic Pigments,2023-01-01,67574181.9158,26677459.85419999,0.2830450414784323
Matapel Chemicals Sample,2023-02-22,Customer 006,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-01,Organic Pigments Grade 1,882.44,6.7602,5965.43,104782.6,92464119.83,75124.61,Colorants,Organic Pigments,2023-02-01,66292960.848400004,26171158.981599994,0.28304123837134887
Matapel Chemicals Sample,2023-03-08,Customer 024,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-01,Organic Pigments Grade 1,838.94,7.2734,6101.93,112737.73,94579895.43,80828.1,Colorants,Organic Pigments,2023-03-01,67809926.21400002,26769969.21599999,0.28304079946686816
Matapel Chemicals Sample,2023-04-12,Customer 021,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-01,Organic Pigments Grade 1,674.74,6.7373,4545.92,104427.73,70461720.65,74870.19,Colorants,Organic Pigments,2023-04-01,50517912.0006,19943808.649400003,0.28304458740747485
Matapel Chemicals Sample,2023-05-15,Customer 017,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-01,Organic Pigments Grade 1,663.92,7.2095,4786.5,111746.57,74190710.33,80117.48,Colorants,Organic Pigments,2023-05-01,53191597.3216,20999113.0084,0.28304235011359274
Matapel Chemicals Sample,2023-06-26,Customer 007,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-01,Organic Pigments Grade 1,661.41,7.0297,4649.55,108960.77,72067995.9,78120.19,Colorants,Organic Pigments,2023-06-01,51669474.8679,20398521.032100007,0.28304548749218106
Matapel Chemicals Sample,2023-07-23,Customer 009,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-01,Organic Pigments Grade 1,519.29,6.6862,3472.11,103636.63,53817707.78,74303.01,Colorants,Organic Pigments,2023-07-01,38584810.06289999,15232897.71710001,0.2830462006923478
Matapel Chemicals Sample,2023-08-26,Customer 020,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-01,Organic Pigments Grade 1,647.19,7.3449,4753.51,113845.47,73679351.23,81622.31,Colorants,Organic Pigments,2023-08-01,52825142.808900006,20854208.421099998,0.28304006581166524
Matapel Chemicals Sample,2023-09-03,Customer 003,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-01,Organic Pigments Grade 1,604.68,6.6539,4023.48,103135.88,62363932.24,73943.99,Colorants,Organic Pigments,2023-09-01,44712451.8732,17651480.366800003,0.283039887524578
Matapel Chemicals Sample,2023-10-25,Customer 005,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-01,Organic Pigments Grade 1,639.55,7.0881,4533.22,109865.83,70264930.28,78769.08,Colorants,Organic Pigments,2023-10-01,50376765.114,19888165.166,0.28304539813456425
Matapel Chemicals Sample,2023-11-18,Customer 019,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-01,Organic Pigments Grade 1,706.74,6.907,4881.47,107058.49,75662740.5,76756.33,Colorants,Organic Pigments,2023-11-01,54246768.6642,21415971.8358,0.2830451513423572
Matapel Chemicals Sample,2024-02-12,Customer 008,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-01,Organic Pigments Grade 1,797.0,7.2684,5792.95,112660.94,89790724.31,80773.05,Colorants,Organic Pigments,2024-02-01,64376120.85,25414603.46,0.2830426378147567
Matapel Chemicals Sample,2024-03-20,Customer 009,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-01,Organic Pigments Grade 1,858.18,7.0412,6042.62,109138.67,93660623.46,78247.73,Colorants,Organic Pigments,2024-03-01,67150636.93139999,26509986.528600007,0.28304302864182546
Matapel Chemicals Sample,2024-04-19,Customer 010,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-01,Organic Pigments Grade 1,876.8,6.817,5977.15,105663.51,92645804.44,75756.19,Colorants,Organic Pigments,2024-04-01,66423027.392,26222777.048,0.28304333052645253
Matapel Chemicals Sample,2024-05-13,Customer 022,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-01,Organic Pigments Grade 1,462.64,7.3218,3387.34,113488.4,52503743.37,81366.3,Colorants,Organic Pigments,2024-05-01,37643305.032,14860438.338,0.2830357872442877
Matapel Chemicals Sample,2024-06-17,Customer 003,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-01,Organic Pigments Grade 1,1014.74,7.2232,7329.64,111959.42,113609415.03,80270.09,Colorants,Organic Pigments,2024-06-01,81453271.1266,32156143.903400004,0.2830411889270688
Matapel Chemicals Sample,2024-08-18,Customer 004,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-01,Organic Pigments Grade 1,875.86,6.7645,5924.75,104849.73,91833581.93,75172.75,Colorants,Organic Pigments,2024-08-01,65840804.815,25992777.11500001,0.2830421787839329
Matapel Chemicals Sample,2024-09-12,Customer 011,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-01,Organic Pigments Grade 1,556.74,7.1608,3986.66,110991.63,61793167.8,79576.23,Colorants,Organic Pigments,2024-09-01,44303270.290199995,17489897.509800002,0.2830393412813512
Matapel Chemicals Sample,2024-11-02,Customer 003,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-01,Organic Pigments Grade 1,540.61,7.3438,3970.17,113829.11,61537682.66,81610.57,Colorants,Organic Pigments,2024-11-01,44119490.247700006,17418192.41229999,0.2830492091900295
Matapel Chemicals Sample,2024-12-15,Customer 015,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-01,Organic Pigments Grade 1,799.65,7.1523,5719.32,110860.32,88649536.99,79482.08,Colorants,Organic Pigments,2024-12-01,63557845.272,25091691.717999995,0.28304368606945385
Matapel Chemicals Sample,2025-01-08,Customer 001,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-01,Organic Pigments Grade 1,649.34,7.0317,4565.99,108991.64,70772870.63,78142.32,Colorants,Organic Pigments,2025-01-01,50740934.06880001,20031936.561199985,0.28304541532484656
Matapel Chemicals Sample,2025-02-09,Customer 004,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-01,Organic Pigments Grade 1,695.85,7.1362,4965.71,110611.4,76968535.38,79303.62,Colorants,Organic Pigments,2025-02-01,55183423.977,21785111.402999997,0.2830391834201484
Matapel Chemicals Sample,2025-03-25,Customer 024,Pigments,Colorants,PIG-001,Organic Pigments,PIG-001-01,Organic Pigments Grade 1,775.43,7.2932,5655.36,113044.86,87658089.1,81048.3,Colorants,Organic Pigments,2025-03-01,62847283.269,24810805.830999993,0.2830406878102935
