company,month,product_family,product_line,warehouse,on_hand_qty,inventory_value_idr,avg_map_cost,item_count,negative_inventory_lines,zero_inventory_lines,negative_value_lines,is_high_value_inventory,is_slow_moving_indicator
Matapel Chemicals Sample,2023-01-01,Specialty Chemicals,Additives,Jakarta WH,1075.09,25778486.5182,23977.98,1,0,0,0,False,False
Matapel Chemicals Sample,2023-01-01,Specialty Chemicals,Additives,Surabaya WH,12127.470000000001,853219973.892,69660.86666666665,3,0,0,0,True,False
Matapel Chemicals Sample,2023-01-01,Binders,Industrial Resins,Bandung WH,4013.73,180943684.6014,45081.18,1,0,0,0,False,False
Matapel Chemicals Sample,2023-01-01,Binders,Industrial Resins,Jakarta WH,3840.45,358561502.0025,93364.45,1,0,0,0,False,False
Matapel Chemicals Sample,2023-01-01,Binders,Industrial Resins,Surabaya WH,8667.51,331825898.883,39807.735,2,0,0,0,False,False
Matapel Chemicals Sample,2023-01-01,Colorants,Inorganic Pigments,Bandung WH,8356.96,366943957.5267,53403.945,2,0,0,0,False,False
Matapel Chemicals Sample,2023-01-01,Colorants,Inorganic Pigments,Jakarta WH,1939.26,155469252.4662,80169.37,1,0,0,0,False,False
Matapel Chemicals Sample,2023-01-01,Colorants,Inorganic Pigments,Surabaya WH,5186.75,485561646.915,93615.78,1,0,0,0,False,False
Matapel Chemicals Sample,2023-01-01,Colorants,Organic Pigments,Bandung WH,433.37,31142197.8861,71860.53,1,0,0,0,False,False
Matapel Chemicals Sample,2023-01-01,Colorants,Organic Pigments,Jakarta WH,5405.78,455782394.34199995,84313.9,1,0,0,0,False,False
Matapel Chemicals Sample,2023-01-01,Colorants,Organic Pigments,Surabaya WH,4574.64,250330079.0664,65153.630000000005,2,0,0,0,False,False
Matapel Chemicals Sample,2023-01-01,Solvents,Solvents,Jakarta WH,6290.959999999999,440988133.7368999,60237.924999999996,2,0,0,0,False,False
Matapel Chemicals Sample,2023-01-01,Solvents,Solvents,Surabaya WH,6978.9,481178549.43500006,62971.545,2,0,0,0,False,False
Matapel Chemicals Sample,2023-02-01,Specialty Chemicals,Additives,Bandung WH,9835.74,711692803.4232001,57882.496666666666,3,0,0,0,True,False
Matapel Chemicals Sample,2023-02-01,Specialty Chemicals,Additives,Jakarta WH,1336.86,79912557.7866,59776.31,1,0,0,0,False,False
Matapel Chemicals Sample,2023-02-01,Binders,Industrial Resins,Jakarta WH,14998.94,853335285.635,56930.97,3,0,0,0,True,False
Matapel Chemicals Sample,2023-02-01,Binders,Industrial Resins,Surabaya WH,5582.8,266476255.62,47731.65,1,0,0,0,False,False
Matapel Chemicals Sample,2023-02-01,Colorants,Inorganic Pigments,Bandung WH,1607.77,126464310.2917,78658.21,1,0,0,0,False,False
Matapel Chemicals Sample,2023-02-01,Colorants,Inorganic Pigments,Jakarta WH,11111.56,477040663.1752,49932.479999999996,2,0,0,0,False,False
Matapel Chemicals Sample,2023-02-01,Colorants,Inorganic Pigments,Surabaya WH,4988.05,469757240.4665,94176.53,1,0,0,0,False,False
Matapel Chemicals Sample,2023-02-01,Colorants,Organic Pigments,Jakarta WH,524.89,38559530.531500004,74563.38,2,1,0,1,False,False
Matapel Chemicals Sample,2023-02-01,Colorants,Organic Pigments,Surabaya WH,9408.83,669375445.4661,69542.33,2,0,0,0,False,False
Matapel Chemicals Sample,2023-02-01,Solvents,Solvents,Jakarta WH,10160.740000000002,779713281.9769,77240.45499999999,2,0,0,0,True,False
Matapel Chemicals Sample,2023-02-01,Solvents,Solvents,Surabaya WH,1071.93,40170687.351,44587.485,2,0,0,0,False,False
Matapel Chemicals Sample,2023-03-01,Specialty Chemicals,Additives,Jakarta WH,6631.64,421351438.70869994,44623.225,2,0,0,0,False,False
Matapel Chemicals Sample,2023-03-01,Specialty Chemicals,Additives,Surabaya WH,4869.21,379962119.5243,73956.47499999999,2,0,0,0,False,False
Matapel Chemicals Sample,2023-03-01,Binders,Industrial Resins,Bandung WH,10509.62,715896690.1272001,68228.49,2,0,0,0,True,False
Matapel Chemicals Sample,2023-03-01,Binders,Industrial Resins,Jakarta WH,4920.07,253273739.83689997,51477.67,1,0,0,0,False,False
Matapel Chemicals Sample,2023-03-01,Binders,Industrial Resins,Surabaya WH,4379.1,118051952.96400002,26958.04,1,0,0,0,False,False
Matapel Chemicals Sample,2023-03-01,Colorants,Inorganic Pigments,Bandung WH,11744.279999999999,998420318.3109,84312.34666666666,3,0,0,0,True,False
Matapel Chemicals Sample,2023-03-01,Colorants,Inorganic Pigments,Jakarta WH,6385.59,155553994.0944,24360.16,1,0,0,0,False,False
Matapel Chemicals Sample,2023-03-01,Colorants,Organic Pigments,Bandung WH,9403.99,667500827.0992,71964.4975,4,1,0,1,False,False
Matapel Chemicals Sample,2023-03-01,Solvents,Solvents,Bandung WH,1516.14,54377336.489800006,44486.565,2,1,0,1,False,False
